splits_count,Scan_Location,Splits_Required,Splits,Source,Destination
23.0,Mumbai_Kandivali_C,4.0,23.0,,0.0
2.0,Mumbai_MahapeMIDC_I,2.0,2.0,,0.0
24.0,Mumbai_MahimJunction_C,5.0,24.0,,0.0
2.0,Mumbai_Mirabhayandar_I,2.0,2.0,,0.0
2.0,Mumbai_Patlipada_I,2.0,2.0,,0.0
2.0,Mumbai_SVRoad_I,2.0,2.0,,0.0
24.0,Mumbai_Turbhe_C,6.0,24.0,,0.0
24.0,Muzaffarpur_Gobarsahi_H,9.0,24.0,,0.0
37.0,Mysore_Hebbalestate_H,4.0,37.0,,0.0
6.0,Nagaon_Bangthai_H,6.0,6.0,,0.0
204.0,Nagpur_Khapari_GW,50.0,241.0,Nagpur_Khapari_GW,241.0
12.0,Nalgonda_Duppalapally_I,3.0,12.0,,0.0
8.0,Nanded_Wajegaon_H,5.0,8.0,,0.0
11.0,Nashik_Satpurcolony_H,3.0,11.0,,0.0
3.0,Nellore_Inamadagudu_I,2.0,3.0,,0.0
309.0,Noida_Bairangpur_GW,73.0,343.0,Noida_Bairangpur_GW,343.0
3.0,Noida_Sector63D_C,3.0,3.0,,0.0
8.0,Noida_Sector63D_I,5.0,8.0,,0.0
6.0,Ongole_Tangutur_H,5.0,6.0,,0.0
10.0,Pali_SuryaColony_I,5.0,10.0,,0.0
191.0,Panipat_Risalu_P,8.0,191.0,,0.0
7.0,Pathankot_Kahanpur_H,5.0,7.0,,0.0
51.0,Patna_Sonagopalpur_H,48.0,51.0,,0.0
6.0,Pune_Dhanori_C,4.0,6.0,,0.0
2.0,Pune_Dhanori_I,1.0,2.0,,0.0
4.0,Pune_Kondhwa_C,5.0,5.0,,0.0
219.0,Pune_Sudhwadi_GW,65.0,219.0,,0.0
4.0,Pune_Sutarwadi_C,3.0,4.0,,0.0
14.0,Purnia_Kasba_H,8.0,14.0,,0.0
5.0,Raichur_Wadloor_I,3.0,5.0,,0.0
41.0,Raipur_Guma_H,19.0,41.0,,0.0
52.0,Rajahmundry_Rajanagaram_H,24.0,52.0,,0.0
173.0,Rajkot_Amargadh_H,38.0,173.0,,0.0
17.0,Ranchi_Sidroll_H,15.0,17.0,,0.0
6.0,Renukoot_Murdhava_H,4.0,6.0,,0.0
21.0,Rourkela_Panposh_I,7.0,21.0,,0.0
6.0,Rudrapur_Daanpur_H,11.0,11.0,,0.0
157.0,Sagar_Pagara_P,28.0,157.0,,0.0
1.0,Saharanpur_Madhonagar_P,1.0,1.0,,0.0
17.0,Salem_Ramalingapuram_H,4.0,17.0,,0.0
17.0,Sambalpur_Tentelpara_H,9.0,17.0,,0.0
26.0,Sasaram_Karwandiya_I,8.0,26.0,,0.0
37.0,Satara_Ambedkarnagar_I,8.0,37.0,,0.0
6.0,Satna_Nazirabad_I,5.0,6.0,,0.0
7.0,Sendhwa_JawaharGanj_I,4.0,7.0,,0.0
5.0,Shahdol_Jamui_I,5.0,5.0,,0.0
12.0,Shimoga_Eshwariah_I,3.0,12.0,,0.0
14.0,Sikar_IndustrialArea_I,6.0,14.0,,0.0
5.0,Silchar_Ambikapur_H,5.0,5.0,,0.0
31.0,Siliguri_Fulbari_H,28.0,31.0,,0.0
3.0,Solan_Deothi_I,3.0,3.0,,0.0
6.0,Solapur_Balepeth_I,5.0,6.0,,0.0
23.0,Sonipat_WazidpurSaboli_P,8.0,23.0,,0.0
7.0,Srikakulam_Etcherla_I,5.0,7.0,,0.0
5.0,Srinagar_Ladhoo_H,4.0,5.0,,0.0
281.0,Surat_Kacholi_GW,56.0,282.0,Surat_Kacholi_GW,282.0
1.0,Surat_Kacholi_I,1.0,1.0,,0.0
79.0,Tezpur_Dipota_H,32.0,79.0,,0.0
12.0,Thrissur_Padavarad_I,7.0,12.0,,0.0
48.0,Tiruchi_Navalur_H,26.0,48.0,,0.0
47.0,Tirunelveli_Krishnapuram_H,22.0,47.0,,0.0
1.0,Tirupati_RAgraharam_H,1.0,1.0,,0.0
1.0,Tirupur_RajivNagar_P,1.0,1.0,,0.0
4.0,Tumkur_Thimmalapura_H,1.0,4.0,,0.0
18.0,Udaipur_Balicha_H,12.0,18.0,,0.0
8.0,Vadodara_Dashrath_H,4.0,8.0,,0.0
11.0,Vadodara_Tandalja_C,4.0,11.0,,0.0
12.0,Vapi_Valwada_H,4.0,12.0,,0.0
44.0,Varanasi_Birbhanpur_H,19.0,44.0,,0.0
11.0,Vellore_Avrmpalyam_I,4.0,11.0,,0.0
48.0,Vijayawada_Gudavalli_H,41.0,48.0,,0.0
1.0,Viluppuram_GenjiRd_I,1.0,1.0,,0.0
15.0,Visakhapatnam_Duvvada_H,25.0,25.0,,0.0
,Jaipur_Gopalbari2_C,1.0,1.0,,0.0
